Date,Prix,Variation 24h
2013-11-04,1 BTC = 155.92000000€,1.62%
2013-11-05,1 BTC = 163.90000000€,4.87%
2013-11-06,1 BTC = 173.32000000€,5.44%
2013-11-07,1 BTC = 181.90000000€,4.72%
2013-11-08,1 BTC = 196.51000000€,7.43%
2013-11-09,1 BTC = 227.92000000€,13.78%
2013-11-10,1 BTC = 259.00000000€,12%
2013-11-11,1 BTC = 274.99000000€,5.81%
2013-11-12,1 BTC = 253.69000000€,-8.4%
2013-11-13,1 BTC = 267.13000000€,5.03%
2013-11-14,1 BTC = 277.45000000€,3.72%
2013-11-15,1 BTC = 318.05000000€,12.77%
2013-11-16,1 BTC = 318.31000000€,0.08%
2013-11-17,1 BTC = 326.11000000€,2.39%
2013-11-18,1 BTC = 341.77000000€,4.58%
2013-11-19,1 BTC = 388.61000000€,12.05%
2013-11-20,1 BTC = 582.53000000€,33.29%
2013-11-21,1 BTC = 479.95000000€,-21.37%
2013-11-22,1 BTC = 467.63000000€,-2.63%
2013-11-23,1 BTC = 551.30000000€,15.18%
2013-11-24,1 BTC = 585.03000000€,5.77%
2013-11-25,1 BTC = 625.23000000€,6.43%
2013-11-26,1 BTC = 598.45000000€,-4.47%
2013-11-27,1 BTC = 603.79000000€,0.88%
2013-11-28,1 BTC = 706.51000000€,14.54%
2013-11-29,1 BTC = 779.33000000€,9.34%
2013-11-30,1 BTC = 826.37000000€,5.69%
2013-12-01,1 BTC = 875.99000000€,5.66%
2013-12-02,1 BTC = 865.31000000€,-1.23%
2013-12-03,1 BTC = 738.58000000€,-17.16%
2013-12-04,1 BTC = 790.45000000€,6.56%
2013-12-05,1 BTC = 829.34000000€,4.69%
2013-12-06,1 BTC = 876.60000000€,5.39%
2013-12-07,1 BTC = 796.93000000€,-10%
2013-12-08,1 BTC = 612.81000000€,-30.05%
2013-12-09,1 BTC = 509.97000000€,-20.17%
2013-12-10,1 BTC = 591.71000000€,13.81%
2013-12-11,1 BTC = 675.61000000€,12.42%
2013-12-12,1 BTC = 739.89000000€,8.69%
2013-12-13,1 BTC = 665.32000000€,-11.21%
2013-12-14,1 BTC = 642.30000000€,-3.58%
2013-12-15,1 BTC = 666.57000000€,3.64%
2013-12-16,1 BTC = 652.14000000€,-2.21%
2013-12-17,1 BTC = 658.39000000€,0.95%
2013-12-18,1 BTC = 547.22000000€,-20.32%
2013-12-19,1 BTC = 515.89000000€,-6.07%
2013-12-20,1 BTC = 396.42000000€,-30.14%
2013-12-21,1 BTC = 528.25000000€,24.96%
2013-12-22,1 BTC = 481.97000000€,-9.6%
2013-12-23,1 BTC = 465.70000000€,-3.49%
2013-12-24,1 BTC = 464.46000000€,-0.27%
2013-12-25,1 BTC = 511.34000000€,9.17%
2013-12-26,1 BTC = 493.67000000€,-3.58%
2013-12-27,1 BTC = 507.84000000€,2.79%
2013-12-28,1 BTC = 569.24000000€,10.79%
2013-12-29,1 BTC = 565.92000000€,-0.59%
